"","Nbarcodes","Nb","Ns","Nr","Nb_cal","Nr_cal"
"I4",253,13195.8669471122,2321,13195.8669471122,NA,NA
"I5",253,10225.086805846,2321,10225.086805846,NA,NA
"I6",249,2738.74138023347,2321,2738.74138023347,NA,NA
"I7",184,339.445214478019,521,521,NA,NA
"I8",27,29.4908529890383,31,31,NA,NA
"I9",5,8.15217397787109,5,8.15217397787109,NA,NA
"A1C",196,50.654499662526,511,511,NA,NA
"A1E",192,149.345971757643,551,551,NA,NA
"A1F0",253,32167.755118668,2321,32167.755118668,NA,NA
"A1F1",238,28.3576126767565,1651,1888.51365504967,NA,NA
"A1F2",195,141.023173139675,601,601,NA,NA
"A1M",165,101.280071816339,361,361,NA,NA
"A1O",153,10.7406321028585,306,306,NA,NA
"A2C",2,2.5988779731168,2,2.5988779731168,NA,NA
"A2E",2,1.78096529268189,2,2,NA,NA
"A2F0",252,10647.2695646549,2321,10647.2695646549,NA,NA
"A2F1",25,8.15057423774753,28.5,28.5,NA,NA
"A2F2",7,5.4719039274658,7,7,NA,NA
"A2M",76,12.9717486182757,88.1428571428571,88.1428571428571,NA,NA
"A3C",29,2.87297549300923,32.8181818181818,32.8181818181818,NA,NA
"A3E",4,3.28980013764043,4,4,NA,NA
"A3F0",245,26411.4261659621,2091,26411.4261659621,NA,NA
"A3F1",212,16.0950333436731,821,821,NA,NA
"A3F2",21,9.12259748379252,23.5,23.5,NA,NA
"A3M",5,4.00419606314615,5,5,NA,NA
"A3O",2,3.94398608237383,2,3.94398608237383,NA,NA
"A4C",4,2.1183006446101,4,4,NA,NA
"A4E",2,8.35452299769799,2,1,NA,NA
"A4F0",245,1280.45319355951,2091,2311.6648847396,NA,NA
"A4F1",6,8.43659835472803,6,8.43659835472803,NA,NA
"A4M",14,9.98630528864371,14.75,14.75,NA,NA
"A4O",1,1,1,1,NA,NA
"A5C",73,5.69115914486687,101,101,NA,NA
"A5E",2,1,2,2,NA,NA
"A5F0",253,62946.3607361843,2321,62946.3607361843,NA,NA
"A5F1",106,6.07311653790981,163,163,NA,NA
"A5M",2,1.09390611279116,2,2,NA,NA
"A5O",2,1,2,2,NA,NA
"B1C",84,38.1045755461896,111,111,NA,NA
"B1E",91,32.5054496290631,126,126,NA,NA
"B1F0",253,52967.2058652867,2321,52967.2058652867,NA,NA
"B1F1",223,7.83086080706173,1131,1131,NA,NA
"B1F2",95,15.1215384378259,134.571428571429,134.571428571429,NA,NA
"B1F3",83,27.7566648179114,121,121,NA,NA
"B1F4",82,21.379136353399,131,131,NA,NA
"B1F5",85,43.5333403658911,113.142857142857,113.142857142857,NA,NA
"B1M",80,31.6002097121832,116.714285714286,116.714285714286,NA,NA
"B1O",91,34.5521361398511,126,126,NA,NA
"B2C",14,6.76369915917775,14.75,14.75,NA,NA
"B2E",11,7.36419373066284,11,11.0674128438368,NA,NA
"B2F0",253,49322.8018853388,2321,49654.5065888673,NA,NA
"B2F1",217,7.50988031834138,861,861,NA,NA
"B2F2",12,2.40972895488831,12.25,12.25,NA,NA
"B2F3",19,2.1594017433231,21,21,NA,NA
"B2F4",18,2.65689986259586,19.75,19.75,NA,NA
"B2F5",14,6.6320910334867,14.75,14.75,NA,NA
"B2M",11,7.26369774707185,11,11,NA,NA
"B2O",25,5.97353416044726,28.5,28.5,NA,NA
"B3C",31,9.39665693744303,34.6363636363636,34.6363636363636,NA,NA
"B3E",14,13.6802697162147,14.75,14.75,NA,NA
"B3F0",245,42750.4900693949,2091,42750.4900693949,NA,NA
"B3F1",251,4152.62783189336,2321,5088.89357876471,NA,NA
"B3F2",24,10.7831808190401,27.25,27.25,NA,NA
"B3F3",24,3.72135909021963,27.25,27.25,NA,NA
"B3F4",66,4.42000334084502,81,81,NA,NA
"B3F5",22,16.4852886499918,24.75,24.75,NA,NA
"B3M",21,13.6731473620016,23.5,23.5,NA,NA
"B3O",13,7.8916141546577,13.5,13.5,NA,NA
"B4C",205,2.87392666938563,651,651,NA,NA
"B4E",13,10.4003313777557,13.5,13.5,NA,NA
"B4F0",253,43818.7478905065,2321,43818.7478905065,NA,NA
"B4F1",245,1.48544673651907,2091,2091,NA,NA
"B4M",244,1765.07545991428,2481,2481,NA,NA
"B4O",1,1.448404620387,1,1.448404620387,NA,NA
"B5C",253,917.167441268612,2321,3504.49461701581,NA,NA
"B5E",129,26.7321602549226,211,211,NA,NA
"B5F0",253,43552.1173870221,2321,43552.1173870221,NA,NA
"B5F1",253,74.3718187905582,2321,2498.37449113655,NA,NA
"B5M",252,24.9366689917925,2321,2321,NA,NA
"B5O",152,173.011247521601,321,321,NA,NA
