,TotalReads,Number.of.barcodes,Ns_MinCutoff,Nb,Ns,AverageFrequency,CFU,Log10Ns,Log10CFU,CFU.Ns,Ns_calibrated
A1F5,58640,339,318,18.10938853,343.1111111,1037.013219,6.00E+07,2.535434782,7.77815125,174870.4663,319.2229248
A2F5,69614,647,425.4444444,12.79262805,655.6111111,2948.682628,3.20E+07,2.816646305,7.505149978,48809.42293,610.9996917
A3F5,293220,13,10,3.642969252,13,37.71572647,1.70E+07,1.113943352,7.230448921,1307692.308,10.28384047
A4F5,291867,543,330,25.21975649,547,3245.172941,5.00E+07,2.737987326,7.698970004,91407.67824,509.8378799
B1F5,155062,85,47,1.438993453,86,939.0007325,3.00E+07,1.934498451,7.477121255,348837.2093,77.43007221
B2F5,51351,162,156.2222222,35.43535008,164.6666667,327.2186168,4.00E+07,2.216605694,7.602059991,242914.9798,151.5003058
B3F5,93951,36,33,4.893821421,36,171.6691886,2.00E+07,1.556302501,7.301029996,555555.5556,30.83302829
B4F5,111084,23,19,10.83080866,23,46.24942575,4.00E+07,1.361727836,7.602059991,1739130.435,19.05800497
C1F5,40991,327,178,20.95050426,332.5555556,1505.081475,5.00E+07,2.521864207,7.698970004,150350.8186,309.3253243
C2F5,39075,50,32,4.402654117,50.66666667,173.2898828,3.00E+07,1.704722333,7.477121255,592105.2632,44.36984309
C3F5,294698,48,44,11.3067586,48,124.4604641,3.00E+07,1.681241237,7.477121255,625000,41.89555753
C4F5,232060,130,64,21.55584951,131,717.106906,2.00E+08,2.117271296,8.301029996,1526717.557,119.7848916
D1F5,413870,4,3,6.01913214,4,28.37248954,700,0.602059991,2.84509804,175,4
D2F5,205241,1,1,0.785002129,1,1,5.00E+07,0,7.698970004,5.00E+07,1
D3F5,88163,6,5,7.325998156,6,12.368841,23000,0.77815125,4.361727836,3833.333333,6
D4F5,91528,5,4,6.65600744,5,8.457390331,6.00E+07,0.698970004,7.77815125,1.20E+07,5
I8,70537,108,116,95.1180576,109.7777778,112.1358645,108,2.040514435,2.033423755,0.983805668,99.79825593
B1F5_2,157016,7,6,1.115770655,7,13.97445755,1.40E+07,0.84509804,7.146128036,2.00E+06,7
B2F5_2,116208,8,6,2.09674171,8,19.76832313,1.00E+08,0.903089987,8,12500000,7
B3F5_2,245411,2,2,1.640025329,2,4.264317409,6.00E+07,0.301029996,7.77815125,3.00E+07,2
B4F5_2,125148,2,2,2.195463748,2,2.020584319,2.00E+07,0.301029996,7.301029996,1.00E+07,2
C1F5_2,239663,7,4,47.57940694,7,56.51059093,6.00E+07,0.84509804,7.77815125,8571428.571,7
C2F5_2,715447,1,1,40.64556637,1,1,2,0,0.301029996,2,1
C3F5_2,84723,2,2,3.778362667,2,2.084319117,5.10E+07,0.301029996,7.707570176,25500000,2
C4F5_2,421158,4,4,29.87971174,4,4.842023874,4.00E+07,0.602059991,7.602059991,1.00E+07,4
D1F5_2,269959,57,25,12.50455545,57,885.5636828,6.00E+07,1.755874856,7.77815125,1052631.579,50.26311402
D2F5_2,211906,123,113,8.618459433,124,423.2127612,1.90E+08,2.093421685,8.278753601,1532258.065,113.1913599
D3F5_2,334549,35,29,9.621894048,35,55.69773959,1.70E+07,1.544068044,7.230448921,485714.2857,29.91789368
D4F5_2,5983,26,25.33333333,6.790801126,27.44444444,40.90136044,500,1.438454444,2.698970004,18.21862348,23.0497147
I8_2,497811,90,90.77777778,69.16769679,90.77777778,93.57170973,90,1.957979547,1.954242509,0.991432069,81.92105219
I8T_2,639427,94,93.94444444,62.27933485,95,99.75812469,112,1.977723605,2.049218023,1.178947368,85.89161632
