"","s29_ch06","s41_ch06","s64_ch06","s52_ch06","s30_ch06","s42_ch06","s65_ch07","s53_ch06","s76_ch07","s106_ch07","s96_ch07","s77_ch07","s87_ch07","s107_ch07","s97_ch07","s78_ch07","s88_ch07","s108_ch07","s98_ch07"
"s29_ch06",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s41_ch06",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s64_ch06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s52_ch06",0,0.630929753571457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s30_ch06",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s42_ch06",0,0,0,0,0,1,0,0.609853334511962,0,0,0,0,0,0,0,0,0,0,0
"s65_ch07",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"s53_ch06",0,0,0,0,0,0.568060967173733,0,1,0,0,0,0,0,0,0,0,0,0,0
"s76_ch07",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"s106_ch07",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"s96_ch07",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"s77_ch07",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"s87_ch07",0,0,0,0,0,0,0,0,0,0,0,0,1,0.359415830216764,0.355336837052606,0,0,0,0
"s107_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0.716992500144231,1,0.170428406712207,0,0,0,0
"s97_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0.833985000288462,0.200513020788621,1,0,0,0,0
"s78_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"s88_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.235519853830777,0.155096511227702
"s108_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861353116146786,1,0.122911077144293
"s98_ch07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861353116146786,0.186645068248555,1
