"","s13_ch08","s18_ch08","s23_ch08","s28_ch08","s14_ch08","s19_ch08","s24_ch08","s29_ch08","s15_ch08","s20_ch08","s25_ch08","s30_ch08","s16_ch08","s21_ch08","s26_ch08","s31_ch08","s17_ch08","s22_ch08","s27_ch08","s32_ch08"
"s13_ch08","0","0.766212765126801","0.766816499371602","0.756136884720257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s18_ch08","0.766212765126801","0","0.577543948888288","0.399119876087947","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s23_ch08","0.766816499371602","0.577543948888288","0","0.630939878826331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s28_ch08","0.756136884720257","0.399119876087947","0.630939878826331","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s14_ch08","0","0","0","0","0","0.900316316157106","0.875206229758699","0.893647096164044","0","0","0","0","0","0","0","0","0","0","0","0"
"s19_ch08","0","0","0","0","0.900316316157106","0","0.900316316157106","0.390645354920103","0","0","0","0","0","0","0","0","0","0","0","0"
"s24_ch08","0","0","0","0","0.875206229758699","0.900316316157106","0","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0"
"s29_ch08","0","0","0","0","0.893647096164044","0.390645354920103","0.900316316157106","0","0","0","0","0","0","0","0","0","0","0","0","0"
"s15_ch08","0","0","0","0","0","0","0","0","0","0.656845841648001","0.742999186914","0.788245598012973","0","0","0","0","0","0","0","0"
"s20_ch08","0","0","0","0","0","0","0","0","0.656845841648001","0","0.520335906933402","0.562302940397654","0","0","0","0","0","0","0","0"
"s25_ch08","0","0","0","0","0","0","0","0","0.742999186914","0.520335906933402","0","0.377956197107073","0","0","0","0","0","0","0","0"
"s30_ch08","0","0","0","0","0","0","0","0","0.788245598012973","0.562302940397654","0.377956197107073","0","0","0","0","0","0","0","0","0"
"s16_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0","0.737839039530834","0.78542908833463","0.819807027935769","0","0","0","0"
"s21_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0.737839039530834","0","0.571622673834145","0.33742908463876","0","0","0","0"
"s26_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0.78542908833463","0.571622673834145","0","0.57671436148573","0","0","0","0"
"s31_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0.819807027935769","0.33742908463876","0.57671436148573","0","0","0","0","0"
"s17_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.815875209332854","0.856473399834593","0.787882164565686"
"s22_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.815875209332854","0","0.743811554046649","0.370642205714091"
"s27_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.856473399834593","0.743811554046649","0","0.768418292965715"
"s32_ch08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.787882164565686","0.370642205714091","0.768418292965715","0"
