,s29_ch06,s41_ch06,s64_ch06,s52_ch06,s30_ch06,s42_ch06,s65_ch07,s53_ch06,s76_ch07,s106_ch07,s96_ch07,s77_ch07,s87_ch07,s107_ch07,s97_ch07,s78_ch07,s88_ch07,s108_ch07,s98_ch07
s29_ch06,0,0.900316316,0.866832032,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s41_ch06,0.900316316,0,0.900316316,0.158214051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s64_ch06,0.866832032,0.900316316,0,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s52_ch06,0.900316316,0.158214051,0.900316316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30_ch06,0,0,0,0,0,0.875962178,0.866190495,0.893455568,0,0,0,0,0,0,0,0,0,0,0
s42_ch06,0,0,0,0,0.875962178,0,0.873578312,0.412514488,0,0,0,0,0,0,0,0,0,0,0
s65_ch07,0,0,0,0,0.866190495,0.873578312,0,0.8691525,0,0,0,0,0,0,0,0,0,0,0
s53_ch06,0,0,0,0,0.893455568,0.412514488,0.8691525,0,0,0,0,0,0,0,0,0,0,0,0
s76_ch07,0,0,0,0,0,0,0,0,0,0.812001995,0.891129618,0,0,0,0,0,0,0,0
s106_ch07,0,0,0,0,0,0,0,0,0.812001995,0,0.893975688,0,0,0,0,0,0,0,0
s96_ch07,0,0,0,0,0,0,0,0,0.891129618,0.893975688,0,0,0,0,0,0,0,0,0
s77_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0.802982189,0.827320503,0.858695015,0,0,0,0
s87_ch07,0,0,0,0,0,0,0,0,0,0,0,0.802982189,0,0.566353922,0.551344932,0,0,0,0
s107_ch07,0,0,0,0,0,0,0,0,0,0,0,0.827320503,0.566353922,0,0.490890049,0,0,0,0
s97_ch07,0,0,0,0,0,0,0,0,0,0,0,0.858695015,0.551344932,0.490890049,0,0,0,0,0
s78_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89657872,0.885461594,0.844575668
s88_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89657872,9.48637384723993e-09,0.319067917,0.542537941
s108_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885461594,0.319067917,0,0.575725866
s98_ch07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844575668,0.542537941,0.575725866,0
