"","TotalReads","Number of barcodes","Ns_MinCutoff","Nb","Ns","AverageFrequency","CFU","Log10Ns","Log10CFU","CFU/Ns"
"s31_ch06",324608,879,634.526315789474,99.1846015316733,891,2493.47000177375,880000,2.94987770403687,5.94448267215017,987.654320987654
"s32_ch06",294227,775,683,103.198427254472,784.210526315789,1904.56443234399,840000,2.89443266745945,5.92427928606188,1071.14093959732
"s33_ch06",457278,2588,1409.26315789474,293.434231633001,2679.88888888889,11452.1486542939,3466666.667,3.42811678807999,6.53991208462088,1293.58596969194
"s34_ch06",638816,3249,1212.15789473684,52.8526500664686,3390.77777777778,31961.6933365361,810000,3.53029932824836,5.90848501887865,238.883245404201
"s43_ch06",772382,4,4,30.8689044295878,4,5.69050121774701,51,0.602059991327962,1.70757017609794,12.75
"s44_ch06",336001,1,1,93068.3453209513,1,1,2,0,0.301029995663981,2
"s45_ch06",240712,4,3,0.190992469255304,4,44.4712676257167,0,0.602059991327962,-Inf,0
"s46_ch06",677947,95,59.95,0.810259251076712,95.8947368421053,345.690281285736,24666.66667,1.98179477168415,4.39211046507,257.226491070252
"s54_ch06",374418,4,3,7.03212809597103,4,50.734689436635,18,0.602059991327962,1.25527250510331,4.5
"s55_ch06",642593,1,1,82187.6509893483,1,1,2533.333333,0,3.40369233750398,2533.333333
"s56_ch06",130637,33,23,9.78126221273016,33,86.096581109704,2,1.51851393987789,0.301029995663981,0.0606060606060606
"s57_ch06",916149,74,51.6315789473684,0.997897562395281,74.2,199.194606529393,5466.666667,1.87040390527903,3.73772259335452,73.6747529245283
"s66_ch07",475434,623,488,58.433597853095,630.315789473684,1617.56878950457,13066.66667,2.79955818638217,4.11616481241158,20.7303495933534
"s67_ch07",174588,66,57.9473684210526,4.55082437327081,66.6,102.737210880453,185,1.8234742291703,2.26717172840301,2.77777777777778
"s68_ch07",571685,7,7,3.2209953012282,7,11.332786770222,33,0.845098040014257,1.51851393987789,4.71428571428571
"s69_ch07",247829,497,438.473684210526,3.24222432512354,501,1716.37322191176,4533.333333,2.69983772586725,3.65641765361862,9.04856952694611
"s79_ch07",272531,749,764,62.421705057378,756.789473684211,1582.05902530148,10333333.33,2.87897508275862,7.01424043897452,13654.1715884276
"s80_ch07",325939,3191,1570,75.1663672384369,3329.77777777778,19949.4149213445,9333333.333,3.52241525059184,6.97003677660705,2802.98985574613
"s89_ch07",368934,7,2400.22222222222,121.969763247269,7,13.0494628208427,7,0.845098040014257,0.845098040014257,1
"s90_ch07",652085,159,67,15.0741250149853,160,1409.55191999431,8600,2.20411998265592,3.93449845124357,53.75
"s99_ch07",754529,13,21094,2282.97369989439,13.6666666666667,16.841529750473,12.5,1.13566260200007,1.09691001300806,0.914634146341463
"s100_ch07",711815,6,6,21.519643282129,6,13.1215375627794,466666.6667,0.778151250383644,5.6690067809896,77777.7777833333
"s109_ch07",176602,523,342,46.6879840157394,528,2071.6834600956,6533.333333,2.72263392253381,3.81513481661466,12.3737373731061
"s110_ch07",478502,478,337.7,78.1756482528344,481.684210526316,2343.63572597132,156000,2.68276241049612,5.19312459835446,323.863636363636
